Network,Endpoint,Field Name,Sample Value,Currently Used
FlexOffers,Advertisers,actions,None,
FlexOffers,Advertisers,actions[].action,Base,
FlexOffers,Advertisers,actions[].actionType,Sale,
FlexOffers,Advertisers,actions[].commission,8.00%,
FlexOffers,Advertisers,actions[].commissionType,Percentage,
FlexOffers,Advertisers,actions[].description,"Disney gift cards, all other gift cards&#x0D;
when Product Category is on the list 2023 Consumables:&#x0D;
[legato][OFFL...",
FlexOffers,Advertisers,actions[].descriptionCharsCount,0,
FlexOffers,Advertisers,actions[].endDate,None,
FlexOffers,Advertisers,actions[].programAction,None,
FlexOffers,Advertisers,actions[].programID,0,
FlexOffers,Advertisers,actions[].startDate,2024-09-12T07:19:15.0000000,
FlexOffers,Advertisers,allowsDeeplinking,True,
FlexOffers,Advertisers,applicationStatus,Approved,Y
FlexOffers,Advertisers,applicationStatusDate,2026-02-16 22:01:24,
FlexOffers,Advertisers,applicationStatusId,1,
FlexOffers,Advertisers,categoryIds,58,
FlexOffers,Advertisers,categoryNames,Food and Drink,Y
FlexOffers,Advertisers,country,US,
FlexOffers,Advertisers,created,2008-10-24 10:24:03,
FlexOffers,Advertisers,deeplinkURL,https://track.flexlinkspro.com/g.ashx?foid=1.147&trid=1399155.185&foc=17&fot=9999&fos=1,
FlexOffers,Advertisers,defaultUrl,,
FlexOffers,Advertisers,description,Omaha Steaks is world-famous for its premium steaks and other gourmet foods. Products are custom-cut and packaged to ser...,
FlexOffers,Advertisers,domainUrl,https://omahasteaks.com,Y
FlexOffers,Advertisers,flexLinks,True,
FlexOffers,Advertisers,id,185,Y
FlexOffers,Advertisers,imageUrl,https://content.flexlinks.com/sharedimages/programsquarelogo/185.png,
FlexOffers,Advertisers,lastCommissionUpdated,2025-03-24 14:19:07,
FlexOffers,Advertisers,lastStatusUpdated,2025-03-24 14:19:07,
FlexOffers,Advertisers,name,"OmahaSteaks.com, Inc.",Y
FlexOffers,Advertisers,networkRank,3.00,
FlexOffers,Advertisers,payout,The payout is 8% of sales.,
FlexOffers,Advertisers,productAdvertiser,True,
FlexOffers,Advertisers,programStatus,Approved,Y
FlexOffers,Advertisers,promotionalAdvertiser,True,
FlexOffers,Advertisers,sevenDayEpc,0.37,Y
FlexOffers,Advertisers,thirtyDayEpc,1.30,
FlexOffers,Advertisers,threeMonthEpc,0.65,
FlexOffers,Ads,advertiserId,185,
FlexOffers,Ads,advertiserName,"OmahaSteaks.com, Inc.",
FlexOffers,Ads,allowsDeeplinking,True,
FlexOffers,Ads,bannerHeight,None,Y
FlexOffers,Ads,bannerWidth,None,Y
FlexOffers,Ads,categories,Food and Drink,
FlexOffers,Ads,couponCode,None,
FlexOffers,Ads,couponRestrictions,None,
FlexOffers,Ads,dollarOff,0,
FlexOffers,Ads,endDate,2030-02-28,
FlexOffers,Ads,epc3M,None,
FlexOffers,Ads,epc7D,None,Y
FlexOffers,Ads,htmlCode,"<a href=""https://track.flexlinkspro.com/g.ashx?foid=1.147.188823010002933&trid=1399155.185&foc=11&fot=9999&fos=6"">Subscr...",Y
FlexOffers,Ads,imageUrl,None,Y
FlexOffers,Ads,linkDescription,Subscribe to Omaha Steaks today and get an extra 10% off your order. Cancel Anytime!,
FlexOffers,Ads,linkId,1.147.188823010002933,Y
FlexOffers,Ads,linkName,Subscribe to Omaha Steaks today and get an extra 10% off your order. Cancel Anytime!,Y
FlexOffers,Ads,linkType,Text Link,Y
FlexOffers,Ads,linkUrl,https://track.flexlinkspro.com/g.ashx?foid=1.147.188823010002933&trid=1399155.185&foc=11&fot=9999&fos=6,Y
FlexOffers,Ads,logoURL,https://content.flexlinks.com/sharedimages/programs/1563.jpg,
FlexOffers,Ads,percentageOff,10,
FlexOffers,Ads,promotionalTypes,Percentage off,
FlexOffers,Ads,startDate,2024-03-01,
Awin,Advertisers,clickThroughUrl,https://www.awin1.com/awclick.php?mid=4032&id=1638097,
Awin,Advertisers,currencyCode,USD,
Awin,Advertisers,description,Welcome to the Awin affiliate program. This program exists for administrative purposes alongside the Awin Referral Schem...,
