Version,"AdRotate Professional",5.26.2
id,advert_name,bannercode,imagetype,image_url,enable_stats,show_everyone,show_desktop,show_mobile,show_tablet,show_ios,show_android,weight,autodelete,autodisable,budget,click_rate,impression_rate,state_required,geo_cities,geo_states,geo_countries,schedule_start,schedule_end
,300X250-7-RuffwearAug2018-560939-General,"&lt;a rel=&quot;sponsored&quot; href=&quot;https://track.flexlinkspro.com/g.ashx?foid=156099.11105.560939&amp;trid=1410543.163719&amp;foc=11&amp;fot=9999&amp;fos=6&quot;&gt;&lt;img src=&quot;http://www.avantlink.com/gbi/11105/560939/132893/160597/image.jpg&quot; /&gt;&lt;/a&gt;",,http://www.avantlink.com/gbi/11105/560939/132893/160597/image.jpg,Y,Y,Y,Y,Y,Y,Y,6,Y,N,0,0,0,N,a:0:{},a:0:{},"a:23:{i:0;s:2:""US"";i:1;s:2:""CA"";i:2;s:2:""MX"";i:3;s:2:""GT"";i:4;s:2:""BZ"";i:5;s:2:""HN"";i:6;s:2:""SV"";i:7;s:2:""NI"";i:8;s:2:""CR"";i:9;s:2:""PA"";i:10;s:2:""CO"";i:11;s:2:""VE"";i:12;s:2:""EC"";i:13;s:2:""PE"";i:14;s:2:""BR"";i:15;s:2:""BO"";i:16;s:2:""PY"";i:17;s:2:""UY"";i:18;s:2:""AR"";i:19;s:2:""CL"";i:20;s:2:""DO"";i:21;s:2:""JM"";i:22;s:2:""TT"";}",1473638400,2145830400
,300X250-7-LowestPricesTopBrandsGetAllYourOutdoorGearHereFreeShippingShopNow-4611686018427431319-General,"&lt;a rel=&quot;sponsored&quot; href=&quot;https://track.flexlinkspro.com/g.ashx?foid=156099.11105.4611686018427431319&amp;trid=1410543.163719&amp;foc=11&amp;fot=9999&amp;fos=6&quot;&gt;&lt;img src=&quot;https://content.flexlinks.com/sharedimages/products/1050269/967083.png&quot; /&gt;&lt;/a&gt;",,https://content.flexlinks.com/sharedimages/products/1050269/967083.png,Y,Y,Y,Y,Y,Y,Y,6,Y,N,0,0,0,N,a:0:{},a:0:{},"a:23:{i:0;s:2:""US"";i:1;s:2:""CA"";i:2;s:2:""MX"";i:3;s:2:""GT"";i:4;s:2:""BZ"";i:5;s:2:""HN"";i:6;s:2:""SV"";i:7;s:2:""NI"";i:8;s:2:""CR"";i:9;s:2:""PA"";i:10;s:2:""CO"";i:11;s:2:""VE"";i:12;s:2:""EC"";i:13;s:2:""PE"";i:14;s:2:""BR"";i:15;s:2:""BO"";i:16;s:2:""PY"";i:17;s:2:""UY"";i:18;s:2:""AR"";i:19;s:2:""CL"";i:20;s:2:""DO"";i:21;s:2:""JM"";i:22;s:2:""TT"";}",0,2650941780
,300X250-9-CrossCanyon6-1108717-General,"&lt;a rel=&quot;sponsored&quot; href=&quot;https://track.flexlinkspro.com/g.ashx?foid=156099.11957.1108717&amp;trid=1410543.163811&amp;foc=11&amp;fot=9999&amp;fos=6&quot;&gt;&lt;img src=&quot;http://www.avantlink.com/gbi/11957/1108717/132893/160597/image.png&quot; /&gt;&lt;/a&gt;",,http://www.avantlink.com/gbi/11957/1108717/132893/160597/image.png,Y,Y,Y,Y,Y,Y,Y,2,Y,N,0,0,0,N,a:0:{},a:0:{},a:0:{},1684972800,2145830400
,300X250-9-CedarMesaCot-1109245-General,"&lt;a rel=&quot;sponsored&quot; href=&quot;https://track.flexlinkspro.com/g.ashx?foid=156099.11957.1109245&amp;trid=1410543.163811&amp;foc=11&amp;fot=9999&amp;fos=6&quot;&gt;&lt;img src=&quot;http://www.avantlink.com/gbi/11957/1109245/132893/160597/image.png&quot; /&gt;&lt;/a&gt;",,http://www.avantlink.com/gbi/11957/1109245/132893/160597/image.png,Y,Y,Y,Y,Y,Y,Y,2,Y,N,0,0,0,N,a:0:{},a:0:{},a:0:{},1685491200,2145830400
,300X250-9-SeriousOutdoorComfort-1112761-General,"&lt;a rel=&quot;sponsored&quot; href=&quot;https://track.flexlinkspro.com/g.ashx?foid=156099.11957.1112761&amp;trid=1410543.163811&amp;foc=11&amp;fot=9999&amp;fos=6&quot;&gt;&lt;img src=&quot;http://www.avantlink.com/gbi/11957/1112761/132893/160597/image.png&quot; /&gt;&lt;/a&gt;",,http://www.avantlink.com/gbi/11957/1112761/132893/160597/image.png,Y,Y,Y,Y,Y,Y,Y,2,Y,N,0,0,0,N,a:0:{},a:0:{},a:0:{},1686700800,2145830400
,300X250-9-KlymitWaterPORTTanks300x250-1127845-General,"&lt;a rel=&quot;sponsored&quot; href=&quot;https://track.flexlinkspro.com/g.ashx?foid=156099.11957.1127845&amp;trid=1410543.163811&amp;foc=11&amp;fot=9999&amp;fos=6&quot;&gt;&lt;img src=&quot;http://www.avantlink.com/gbi/11957/1127845/132893/160597/image.png&quot; /&gt;&lt;/a&gt;",,http://www.avantlink.com/gbi/11957/1127845/132893/160597/image.png,Y,Y,Y,Y,Y,Y,Y,2,Y,N,0,0,0,N,a:0:{},a:0:{},a:0:{},1691452800,2145830400
,300X250-9-KlymitTempestPump300x250-1129821-General,"&lt;a rel=&quot;sponsored&quot; href=&quot;https://track.flexlinkspro.com/g.ashx?foid=156099.11957.1129821&amp;trid=1410543.163811&amp;foc=11&amp;fot=9999&amp;fos=6&quot;&gt;&lt;img src=&quot;http://www.avantlink.com/gbi/11957/1129821/132893/160597/image.png&quot; /&gt;&lt;/a&gt;",,http://www.avantlink.com/gbi/11957/1129821/132893/160597/image.png,Y,Y,Y,Y,Y,Y,Y,2,Y,N,0,0,0,N,a:0:{},a:0:{},a:0:{},1692662400,2145830400
,300X250-9-KlymitFall300x250-1250661-General,"&lt;a rel=&quot;sponsored&quot; href=&quot;https://track.flexlinkspro.com/g.ashx?foid=156099.11957.1250661&amp;trid=1410543.163811&amp;foc=11&amp;fot=9999&amp;fos=6&quot;&gt;&lt;img src=&quot;http://www.avantlink.com/gbi/11957/1250661/132893/160597/image.png&quot; /&gt;&lt;/a&gt;",,http://www.avantlink.com/gbi/11957/1250661/132893/160597/image.png,Y,Y,Y,Y,Y,Y,Y,2,Y,N,0,0,0,N,a:0:{},a:0:{},a:0:{},1731283200,2145830400
,300X250-10-ExplorethegreatoutdoorsStartyouradventure-4611686018427515520-General,"&lt;a rel=&quot;sponsored&quot; href=&quot;https://track.flexlinkspro.com/g.ashx?foid=156178.2495.4611686018427515520&amp;trid=1410543.166312&amp;foc=11&amp;fot=9999&amp;fos=6&quot;&gt;&lt;img src=&quot;https://content.flexlinks.com/sharedimages/products/1079193/981328.png&quot; /&gt;&lt;/a&gt;",,https://content.flexlinks.com/sharedimages/products/1079193/981328.png,Y,Y,Y,Y,Y,Y,Y,2,Y,N,0,0,0,N,a:0:{},a:0:{},"a:16:{i:0;s:2:""GB"";i:1;s:2:""DE"";i:2;s:2:""FR"";i:3;s:2:""IT"";i:4;s:2:""ES"";i:5;s:2:""NL"";i:6;s:2:""BE"";i:7;s:2:""AT"";i:8;s:2:""CH"";i:9;s:2:""SE"";i:10;s:2:""NO"";i:11;s:2:""DK"";i:12;s:2:""FI"";i:13;s:2:""IE"";i:14;s:2:""PT"";i:15;s:2:""PL"";}",0,2650941780
,300X250-12-VeloxIITacticalAssaultPack300x250-576043-General,"&lt;a rel=&quot;sponsored&quot; href=&quot;https://track.flexlinkspro.com/g.ashx?foid=156099.13390.576043&amp;trid=1410543.172294&amp;foc=11&amp;fot=9999&amp;fos=6&quot;&gt;&lt;img src=&quot;http://www.avantlink.com/gbi/13390/576043/132893/160597/image.jpg&quot; /&gt;&lt;/a&gt;",,http://www.avantlink.com/gbi/13390/576043/132893/160597/image.jpg,Y,Y,Y,Y,Y,Y,Y,2,Y,N,0,0,0,N,a:0:{},a:0:{},"a:23:{i:0;s:2:""US"";i:1;s:2:""CA"";i:2;s:2:""MX"";i:3;s:2:""GT"";i:4;s:2:""BZ"";i:5;s:2:""HN"";i:6;s:2:""SV"";i:7;s:2:""NI"";i:8;s:2:""CR"";i:9;s:2:""PA"";i:10;s:2:""CO"";i:11;s:2:""VE"";i:12;s:2:""EC"";i:13;s:2:""PE"";i:14;s:2:""BR"";i:15;s:2:""BO"";i:16;s:2:""PY"";i:17;s:2:""UY"";i:18;s:2:""AR"";i:19;s:2:""CL"";i:20;s:2:""DO"";i:21;s:2:""JM"";i:22;s:2:""TT"";}",1478131200,2145830400
